rank,player,team,position,own_goals,forced_turnovers,defensive_pressures_applied,defensive_pressures_directly_applied,source_url,retrieved_date
14,Samet Akaydin,TUR,DF,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Finn Surman,NZL,DF,0,5,28,11,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Elliot Stroud,SWE,DF,0,9,61,7,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Rustam Ashurmatov,UZB,DF,0,17,32,9,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Nico Williams,ESP,FW,0,11,42,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Eren Elmali,TUR,DF,0,4,26,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Tyler Bindon,NZL,DF,0,4,13,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Irfan Can Kahveci,TUR,FW,0,0,4,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Granit Xhaka,SUI,MF,0,28,116,18,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Lachlan Bayliss,NZL,MF,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Sead Kolasinac,BIH,DF,0,10,49,17,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,David Raya,ESP,GK,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Kerem Akturkoglu,TUR,FW,0,10,38,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Ricardo Rodriguez,SUI,DF,0,24,60,16,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Che Adams,SCO,FW,0,6,73,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Ugurcan Cakir,TUR,GK,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Vladimir Darida,CZE,MF,0,10,34,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Findlay Curtis,SCO,FW,0,1,12,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Dostonbek Khamdamov,UZB,MF,0,9,74,6,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Martin Zubimendi,ESP,MF,0,0,1,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Patrik Schick,CZE,FW,0,7,74,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Dzenis Burnic,BIH,MF,0,0,6,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Altay Bayindir,TUR,GK,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
14,Silvan Widmer,SUI,DF,0,11,59,13,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
