rank,player,team,position,top_speed_kmh,high_speed_running,sprints,total_distance_metres,source_url,retrieved_date
278,Michael Boxall,NZL,DF,32.92,181,75,22180.78,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
279,Sebastian Tounekti,TUN,MF,32.92,146,55,11128.49,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
280,Lamine Yamal,ESP,FW,32.92,559,262,64219.36,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
281,Aziz Behich,AUS,DF,32.92,341,105,26853.33,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
282,Fredrik Aursnes,NOR,MF,32.9,571,173,40597.72,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
283,Marc Guehi,ENG,DF,32.9,660,203,70981.57,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
284,Ali Nemati,IRN,DF,32.9,369,108,31613.92,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
285,Jonathan Tah,GER,DF,32.9,392,119,42610.17,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
286,Noah Okafor,SUI,FW,32.89,38,11,2914.43,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
287,Cesar Blackman,PAN,DF,32.89,180,64,18333.59,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
288,Ange Yoan Bonny,CIV,FW,32.89,314,113,26951.82,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
289,Willian Pacho,ECU,DF,32.89,284,119,35347.02,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
290,Fiston Mayele,COD,FW,32.89,72,35,5777.74,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
291,Joao Cancelo,POR,DF,32.88,388,151,36826.9,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
292,Chadi Riad,MAR,DF,32.88,393,99,38595.32,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
293,Malik Tillman,USA,MF,32.88,607,215,44391.65,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
294,Haissem Hassan,EGY,FW,32.88,184,62,15396.81,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
295,Hiroki Ito,JPN,DF,32.88,358,119,39533.62,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
296,Martin Experience,HAI,DF,32.86,447,187,33997.02,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
297,Maxim De Cuyper,BEL,DF,32.86,653,234,54016.4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
298,Abdul Fatawu,GHA,FW,32.86,211,93,16816.62,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
299,Yang Hyunjun,KOR,MF,32.85,37,21,2936.45,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
