rank,player,team,position,goals,assists,minutes_played,source_url,retrieved_date
1229,Gideon Mensah,GHA,DF,0,0,414,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1229,Antoine Semenyo,GHA,MF,0,0,414,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1227,Dominik Livakovic,CRO,GK,0,0,413,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1227,Josip Sutalo,CRO,DF,0,0,413,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1225,Alexander Schlager,AUT,GK,0,0,412,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1226,Johan Vasquez,MEX,DF,0,0,412,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1223,Idrissa Gana Gueye,SEN,MF,0,0,411,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1224,Nikola Vasilj,BIH,GK,0,0,411,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1220,Lionel Mpasi,COD,GK,0,0,409,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1220,Axel Tuanzebe,COD,DF,0,0,409,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1222,Mohanad Lashin,EGY,MF,0,0,409,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1219,Yahia Fofana,CIV,GK,0,0,408,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1216,Moises Caicedo,ECU,MF,0,0,407,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1216,Hernan Galindez,ECU,GK,0,0,407,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1216,Willian Pacho,ECU,DF,0,0,407,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1215,Aiden Oneill,AUS,MF,0,0,406,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1213,Hiroki Ito,JPN,DF,0,0,405,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1214,Zion Suzuki,JPN,GK,0,0,405,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1212,Vitinha,POR,MF,0,0,404,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1209,Ramy Bensebaini,ALG,DF,0,0,403,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1209,Fares Chaibi,ALG,MF,0,0,403,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1209,Aissa Mandi,ALG,DF,0,0,403,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1205,Mbekezeli Mbokazi,RSA,DF,0,0,402,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1205,Khuliso Mudau,RSA,DF,0,0,402,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1205,Ime Okon,RSA,DF,0,0,402,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1205,Ronwen Williams,RSA,GK,0,0,402,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1204,Tajon Buchanan,CAN,FW,0,0,401,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1203,Gustaf Lagerbielke,SWE,DF,0,0,400,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1200,Antonee Robinson,USA,DF,0,0,399,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1201,Aaron Wan Bissaka,COD,DF,0,0,399,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1202,Ermedin Demirovic,BIH,FW,0,0,399,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1199,Tyler Adams,USA,MF,0,0,397,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1198,Denis Zakaria,SUI,MF,0,0,392,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1197,Victor Lindelof,SWE,DF,0,0,390,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1196,Ibrahim Maza,ALG,MF,0,0,389,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1195,Aubrey Modiba,RSA,DF,0,0,381,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1194,John Stones,ENG,DF,0,0,380,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1192,Nathan Ngoy,BEL,DF,0,0,376,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1193,Piero Hincapie,ECU,DF,0,0,376,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1191,Stefan Posch,AUT,DF,0,0,370,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1190,Omar Marmoush,EGY,FW,0,0,369,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1189,Reece James,ENG,DF,0,0,368,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1187,Omar Alderete,PAR,DF,0,0,363,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1188,Alexander Sorloth,NOR,FW,0,0,363,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1186,Nicolas Seiwald,AUT,MF,0,0,361,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1184,Samuel Moutoussamy,COD,MF,0,0,360,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1185,Frenkie De Jong,NED,MF,0,0,360,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1183,Gabriel Gudmundsson,SWE,DF,0,0,356,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1182,Fredrik Aursnes,NOR,MF,0,0,355,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1181,Nikola Katic,BIH,DF,0,0,353,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1180,Derek Cornelius,CAN,DF,0,0,351,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1179,Cesar Montes,MEX,DF,0,0,349,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1178,Steven Moreira,CPV,DF,0,0,346,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1177,Jordan Bos,AUS,DF,0,0,343,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1176,Jeremy Doku,BEL,FW,0,0,341,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1175,James Rodriguez,COL,MF,0,0,338,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1174,Sergino Dest,USA,DF,0,0,335,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
