rank,player,team,position,goals,assists,minutes_played,source_url,retrieved_date
81,Keito Nakamura,JPN,MF,1,1,330,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
82,Petar Sucic,CRO,MF,1,1,338,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
83,Ferran Torres,ESP,FW,1,1,349,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
84,Ivan Perisic,CRO,FW,1,1,413,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
85,Virgil Van Dijk,NED,DF,1,1,432,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
86,Matias Galarza,PAR,MF,1,1,439,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
87,Alex Freeman,USA,DF,1,1,442,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
88,Desire Doue,FRA,FW,1,1,449,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
89,Alex Baena,ESP,MF,1,1,522,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
90,Luis Diaz,COL,FW,1,1,525,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Lisandro Martinez,ARG,DF,1,1,708,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
92,Alexis Mac Allister,ARG,MF,1,1,869,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
93,Kaan Ayhan,TUR,MF,1,0,11,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
94,Mattias Svanberg,SWE,MF,1,0,25,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
95,Mahmoud Saber,EGY,MF,1,0,51,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
96,Nadhir Benbouali,ALG,FW,1,0,52,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
97,Neymar Jr,BRA,FW,1,0,55,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
98,Fiston Mayele,COD,FW,1,0,55,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
99,Goncalo Ramos,POR,FW,1,0,58,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
100,Giovani Lo Celso,ARG,MF,1,0,64,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
