rank,player,team,position,passes,passes_completed,passing_accuracy_pct,crosses,crossing_accuracy_pct,take_ons_completed,defensive_linebreaks_attempted,defensive_linebreaks_accuracy_pct,switches_of_play_attempted,switches_of_play_accuracy_pct,source_url,retrieved_date
1,Rodri,ESP,MF,799,747,93,3,0,2,21,90,11,91,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
2,Pau Cubarsi,ESP,DF,690,668,97,1,0,0,7,71,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
3,Aymeric Laporte,ESP,DF,660,618,94,0,0,0,12,58,8,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
4,Leandro Paredes,ARG,MF,565,532,94,2,50,3,8,38,7,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
5,Marc Guehi,ENG,DF,532,514,97,0,0,2,10,70,4,75,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
6,Enzo Fernandez,ARG,MF,519,480,92,5,40,5,21,71,8,88,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
7,Ezri Konsa,ENG,DF,488,469,96,3,0,1,3,100,3,67,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
8,Manuel Akanji,SUI,DF,479,444,93,0,0,0,8,88,8,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
9,Marc Cucurella,ESP,DF,474,433,91,15,20,1,13,54,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
10,Granit Xhaka,SUI,MF,470,427,91,4,0,2,15,47,8,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
11,Pedri,ESP,MF,469,420,90,14,36,2,16,75,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
12,Lisandro Martinez,ARG,DF,450,422,94,3,0,2,9,67,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
13,Achraf Hakimi,MAR,DF,449,402,90,38,32,11,7,86,6,83,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
14,Elliot Anderson,ENG,MF,445,396,89,6,50,1,17,71,10,90,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
15,Dayot Upamecano,FRA,DF,443,409,92,0,0,2,6,67,4,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
16,Nico Elvedi,SUI,DF,438,406,93,0,0,3,2,50,5,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
17,Neil El Aynaoui,MAR,MF,433,405,94,0,0,1,3,0,3,67,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
18,Gabriel Magalhaes,BRA,DF,431,413,96,0,0,0,2,50,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
19,Alexis Mac Allister,ARG,MF,430,393,91,1,0,1,3,33,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
19,Cristian Romero,ARG,DF,430,415,97,0,0,3,1,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
21,Sander Berge,NOR,MF,425,412,97,2,0,1,4,75,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
22,Pedro Porro,ESP,DF,420,379,90,19,26,3,17,35,9,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
23,Michael Olise,FRA,FW,417,362,87,20,25,17,28,75,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
24,Vitinha,POR,MF,403,379,94,0,0,2,7,71,11,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
25,Brandon Mechele,BEL,DF,399,369,92,0,0,1,4,50,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
26,Ramy Bensebaini,ALG,DF,385,359,93,0,0,1,8,38,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
27,Aissa Mandi,ALG,DF,382,357,93,0,0,0,5,20,10,90,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
28,Marquinhos,BRA,DF,380,367,97,1,100,0,4,75,6,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
29,Jonathan Tah,GER,DF,375,364,97,1,0,1,3,100,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
30,Joshua Kimmich,GER,DF,368,336,91,25,20,1,9,56,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
31,Martin Odegaard,NOR,MF,367,322,88,16,19,3,18,56,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
31,Lionel Messi,ARG,FW,367,288,78,46,39,25,36,58,5,80,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
33,Davinson Sanchez,COL,DF,361,324,90,0,0,1,10,20,6,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
34,Jan Paul Van Hecke,NED,DF,360,335,93,1,0,1,5,60,4,75,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
35,Marawan Attia,EGY,MF,357,313,88,8,38,0,15,47,8,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
36,Jules Kounde,FRA,DF,353,314,89,15,13,0,7,43,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
37,Adrien Rabiot,FRA,MF,351,323,92,2,0,2,13,77,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
38,Virgil Van Dijk,NED,DF,347,330,95,0,0,1,1,100,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
39,Declan Rice,ENG,MF,340,312,92,40,38,2,12,50,4,75,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
40,Renato Veiga,POR,DF,336,320,95,0,0,1,4,50,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
41,Rodrigo De Paul,ARG,MF,327,300,92,13,38,2,9,67,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
42,Issa Diop,MAR,DF,326,299,92,0,0,0,3,0,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
43,Remo Freuler,SUI,MF,324,299,92,5,20,0,7,71,2,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
44,Azzedine Ounahi,MAR,MF,315,281,89,6,33,8,17,65,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
44,William Saliba,FRA,DF,315,307,97,0,0,1,1,0,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
46,Unai Simon,ESP,GK,314,253,81,0,0,0,5,20,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
47,Torbjorn Heggem,NOR,DF,301,282,94,0,0,1,4,25,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
48,Tim Ream,USA,DF,298,281,94,0,0,2,6,33,5,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
49,Pedro Vite,ECU,MF,297,269,91,7,43,1,9,56,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
49,Ousmane Dembele,FRA,FW,297,236,79,36,17,9,29,62,6,83,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
49,Fabian Ruiz,ESP,MF,297,266,90,7,29,0,12,58,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
52,Ricardo Rodriguez,SUI,DF,295,243,82,17,18,1,24,33,4,50,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
52,Moises Caicedo,ECU,MF,295,264,89,16,44,0,13,54,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
54,Danilo,BRA,DF,294,262,89,7,29,1,6,50,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
55,Chris Richards,USA,DF,291,277,95,0,0,0,2,0,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
56,Gustavo Puerta,COL,DF,290,264,91,2,0,4,4,50,3,67,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
56,Moussa Niakhate,SEN,DF,290,271,93,2,50,0,1,100,4,75,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
58,Jhon Lucumi,COL,DF,285,262,92,0,0,1,6,17,12,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
59,Alex Freeman,USA,DF,283,256,90,4,0,13,9,67,4,75,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
59,Lucas Digne,FRA,DF,283,252,89,17,6,0,8,50,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
59,Krepin Diatta,SEN,DF,283,255,90,10,40,6,4,75,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
62,Mohamed Hany,EGY,DF,282,245,87,17,24,4,9,56,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
62,Nuno Mendes,POR,DF,282,239,85,21,29,8,17,53,4,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
64,Stephen Eustaquio,CAN,MF,281,244,87,42,38,2,15,60,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
65,Ime Okon,RSA,DF,280,257,92,0,0,0,2,50,2,50,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
65,Nabil Bentaleb,ALG,MF,280,255,91,1,0,0,3,67,1,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
67,Bruno Fernandes,POR,MF,278,239,86,22,23,3,20,65,10,90,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
68,Nahuel Molina,ARG,DF,276,234,85,6,0,1,6,33,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
69,Douglas Santos,BRA,DF,275,256,93,6,17,0,5,60,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
69,Noussair Mazraoui,MAR,DF,275,251,91,4,0,5,5,40,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
71,Jefferson Lerma,COL,MF,274,242,88,2,50,1,2,0,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
72,Kristoffer Ajer,NOR,DF,273,256,94,2,100,3,1,100,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
73,Florian Wirtz,GER,MF,271,223,82,12,42,14,15,67,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
74,Idrissa Gana Gueye,SEN,MF,270,243,90,1,0,0,8,63,5,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
75,Emiliano Martinez,ARG,GK,268,195,73,0,0,0,10,20,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
76,Josip Sutalo,CRO,DF,267,241,90,0,0,3,4,0,7,71,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
77,Jordan Pickford,ENG,GK,265,190,72,0,0,0,12,42,3,33,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
77,Lamine Yamal,ESP,FW,265,225,85,40,20,35,36,72,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
79,Ayyoub Bouaddi,MAR,MF,264,237,90,0,0,6,1,100,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
80,Timothy Castagne,BEL,DF,263,230,87,20,35,1,8,75,2,50,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
80,Manu Kone,FRA,MF,263,242,92,1,0,2,3,100,2,50,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
82,Joao Neves,POR,MF,261,247,95,2,50,3,9,56,3,67,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
83,Aleksandar Pavlovic,GER,MF,260,240,92,1,0,1,1,0,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
83,Yasser Ibrahim,EGY,DF,260,239,92,0,0,2,1,0,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
85,Youri Tielemans,BEL,MF,255,221,87,14,21,3,10,50,5,60,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
85,Gregor Kobel,SUI,GK,255,190,75,0,0,0,6,0,2,50,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
87,Aurelien Tchouameni,FRA,MF,254,239,94,2,0,0,1,100,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
88,Ruben Dias,POR,DF,249,233,94,0,0,1,6,33,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
89,Luka Modric,CRO,MF,248,225,91,9,44,2,9,44,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
90,Maxim De Cuyper,BEL,DF,246,203,83,16,25,3,9,44,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
90,Antonio Ruediger,GER,DF,246,230,93,1,0,0,4,25,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
92,Ramy Rabia,EGY,DF,244,224,92,0,0,0,2,50,8,50,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
92,Fares Chaibi,ALG,MF,244,220,90,7,0,3,10,50,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
94,Frenkie De Jong,NED,MF,243,224,92,0,0,1,5,80,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
95,Abdulkerim Bardakci,TUR,DF,242,222,92,6,33,1,3,33,5,60,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
96,Alistair Johnston,CAN,DF,240,184,77,24,25,3,17,53,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
96,Jhon Arias,COL,MF,240,227,95,6,17,6,7,71,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
98,Willian Pacho,ECU,DF,238,217,91,0,0,1,2,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
98,Bilal El Khannouss,MAR,MF,238,186,78,14,14,6,23,65,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
100,Ronwen Williams,RSA,GK,237,179,76,0,0,0,7,29,3,67,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
100,Johan Vasquez,MEX,DF,237,221,93,0,0,0,4,50,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
100,James Rodriguez,COL,MF,237,199,84,17,29,2,14,50,9,67,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
103,Lee Gihyuk,KOR,MF,236,217,92,4,0,1,3,0,4,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
104,Kylian Mbappe,FRA,FW,232,201,87,10,10,28,31,81,12,92,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
105,Jude Bellingham,ENG,MF,231,191,83,9,11,14,21,48,6,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
105,Tyler Adams,USA,MF,231,211,91,0,0,0,6,67,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
107,Nicolas Raskin,BEL,MF,230,197,86,8,38,0,8,0,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
108,Dani Olmo,ESP,FW,229,207,90,2,0,15,17,76,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
109,Mathias Olivera,URU,DF,226,213,94,3,0,1,6,50,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
109,Kim Minjae,KOR,DF,226,221,98,0,0,1,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
109,Chadi Riad,MAR,DF,226,212,94,0,0,1,1,0,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
112,Mike Maignan,FRA,GK,225,179,80,0,0,0,3,33,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
113,Casemiro,BRA,MF,224,200,89,4,25,1,8,50,4,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
114,David Alaba,AUT,DF,222,198,89,1,0,0,5,80,1,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
115,Antonee Robinson,USA,DF,221,181,82,18,22,10,13,46,2,50,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
115,Alessandro Circati,AUS,DF,221,177,80,1,0,1,10,60,4,75,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
117,Weston Mckennie,USA,MF,220,173,79,11,27,6,27,74,4,75,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
118,Nathan Ngoy,BEL,DF,219,205,94,0,0,0,4,25,4,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
119,Alex Baena,ESP,MF,218,178,82,44,18,5,18,67,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
119,Hwang Inbeom,KOR,MF,218,193,89,3,67,1,5,80,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
121,Nicolas Tagliafico,ARG,DF,217,190,88,4,25,2,8,50,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
122,Nico Oreilly,ENG,DF,216,200,93,6,50,4,6,67,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
123,Julian Alvarez,ARG,FW,215,183,85,1,0,3,4,50,4,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
124,Daniel Munoz,COL,DF,213,194,91,9,22,0,5,20,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
124,Mbekezeli Mbokazi,RSA,DF,213,185,87,2,0,2,7,57,3,67,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
126,Yassine Bounou,MAR,GK,211,142,67,0,0,0,9,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
126,Rayan Ait Nouri,ALG,DF,211,190,90,9,0,12,7,57,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
128,Mateo Kovacic,CRO,MF,208,198,95,0,0,2,3,67,2,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
129,Emam Ashour,EGY,MF,207,176,85,3,0,3,7,57,3,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
130,Gustaf Lagerbielke,SWE,DF,206,173,84,1,0,1,7,57,1,100,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics?group=gcp_distribution&stat=passes,2026-08-31
