rank,player,team,position,assists,attempts_on_target,attempts_at_goal,attempts_at_goal_conversion_pct,attempts_inside_penalty_area,attempts_outside_penalty_area,headed_attempts_at_goal,xg,xg_efficiency,corners,source_url,retrieved_date
1,Kylian Mbappe,FRA,FW,4,23,41,24,27,14,0,6.54,1.53x,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
2,Lionel Messi,ARG,FW,4,19,35,23,16,19,0,6.18,1.29x,38,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
3,Lamine Yamal,ESP,FW,0,12,27,4,13,14,0,2.44,0.41x,15,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
4,Mikel Oyarzabal,ESP,FW,1,12,23,22,16,7,5,4.33,1.14x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
4,Harry Kane,ENG,FW,1,11,23,26,18,5,5,3.69,1.63x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
6,Kevin De Bruyne,BEL,MF,0,5,20,5,9,11,0,1.39,0.72x,14,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
6,Michael Olise,FRA,FW,7,5,20,0,10,10,0,2.34,0x,25,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
6,Ousmane Dembele,FRA,FW,2,10,20,30,13,7,1,2.1,2.86x,17,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
9,Jude Bellingham,ENG,MF,1,13,19,37,16,3,4,3.92,1.79x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
9,Erling Haaland,NOR,FW,0,12,19,37,18,1,7,4.62,1.51x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
9,Luis Diaz,COL,FW,1,7,19,5,15,4,0,1.47,0.68x,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
12,Raul Jimenez,MEX,FW,0,7,18,17,13,5,7,3,1x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
12,Cristiano Ronaldo,POR,FW,0,9,18,17,15,3,0,2.94,1.02x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
12,Jonathan David,CAN,FW,0,9,18,17,13,5,0,2.71,1.11x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
15,Ismaila Sarr,SEN,FW,1,6,17,24,15,2,2,3.68,1.09x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
15,Leandro Trossard,BEL,FW,2,4,17,12,10,7,0,1.67,1.2x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
15,Vinicius Junior,BRA,FW,1,11,17,24,14,3,1,3.24,1.23x,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
18,Dan Ndoye,SUI,FW,0,8,16,13,15,1,1,0.86,2.31x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
19,Ferran Torres,ESP,FW,1,4,14,7,13,1,5,2.72,0.37x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
19,Kenan Yildiz,TUR,FW,0,1,14,0,11,3,0,0.38,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
19,Folarin Balogun,USA,FW,0,5,14,21,14,0,2,2.02,1.49x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
19,Gustavo Puerta,COL,DF,1,5,14,0,3,11,0,0.53,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
19,Julian Quinones,MEX,FW,1,6,14,29,8,6,2,2.27,1.76x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
19,Achraf Hakimi,MAR,DF,2,4,14,7,6,8,0,0.96,1.04x,21,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
25,Alexis Mac Allister,ARG,MF,1,4,13,8,10,3,9,1.92,0.52x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
25,Dani Olmo,ESP,FW,2,2,13,0,7,6,2,1.16,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
25,Desire Doue,FRA,FW,1,8,13,8,4,9,1,0.71,1.41x,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
25,Bukayo Saka,ENG,FW,3,7,13,23,11,2,1,1.72,1.74x,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
29,Marcus Rashford,ENG,FW,1,5,12,8,9,3,2,1.03,0.97x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
29,Kai Havertz,GER,FW,0,7,12,25,11,1,7,2,1.5x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
29,Arda Guler,TUR,FW,0,4,12,8,3,9,0,0.75,1.34x,11,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
29,Viktor Gyokeres,SWE,FW,2,6,12,8,9,3,0,1.39,0.72x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
29,Alex Baena,ESP,MF,1,5,12,8,4,8,0,0.5,2x,28,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
29,Enzo Fernandez,ARG,MF,0,4,12,17,4,8,2,0.9,2.22x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
35,Julian Alvarez,ARG,FW,0,5,11,9,7,4,0,1.39,0.72x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
35,Hakan Calhanoglu,TUR,MF,0,2,11,0,2,9,0,0.4,0x,8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
35,Omar Marmoush,EGY,FW,0,1,11,0,8,3,0,0.91,0x,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
35,Youri Tielemans,BEL,MF,0,3,11,18,7,4,2,1.5,1.33x,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
35,Ibrahim Maza,ALG,MF,0,3,11,0,7,4,1,1.06,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
35,Yoane Wissa,COD,FW,0,3,11,27,7,4,2,1.79,1.68x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
41,Ismael Saibari,MAR,MF,0,3,10,30,7,3,1,1.01,2.97x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
41,Emam Ashour,EGY,MF,0,2,10,20,5,5,1,1.06,1.89x,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
41,Lautaro Martinez,ARG,FW,1,4,10,30,9,1,2,2.17,1.38x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
41,Federico Valverde,URU,MF,0,2,10,0,3,7,0,0.5,0x,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
41,Enner Valencia,ECU,FW,0,6,10,0,9,1,2,1.53,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
41,Matheus Cunha,BRA,FW,0,4,10,30,5,5,1,1.21,2.49x,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
41,Breel Embolo,SUI,FW,2,5,10,20,8,2,2,2.58,0.78x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
41,Bradley Barcola,FRA,FW,1,5,10,30,7,3,1,1.99,1.51x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
41,Cody Gakpo,NED,FW,1,6,10,30,8,2,2,1.35,2.23x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
41,Florian Wirtz,GER,MF,3,1,10,0,5,5,0,0.97,0x,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
41,Maxim De Cuyper,BEL,DF,0,6,10,0,5,5,0,1.09,0x,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
52,Martin Odegaard,NOR,MF,4,3,9,0,5,4,0,0.72,0x,12,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
52,Adrien Rabiot,FRA,MF,1,1,9,0,4,5,2,0.96,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
52,Bruno Fernandes,POR,MF,1,3,9,0,5,4,0,0.95,0x,8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
52,Luis Suarez,COL,FW,1,0,9,0,7,2,2,0.96,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
52,Jhon Arias,COL,MF,0,4,9,11,7,2,0,0.94,1.07x,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
52,Ayase Ueda,JPN,FW,1,4,9,22,5,4,2,0.63,3.15x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
52,Fares Chaibi,ALG,MF,0,3,9,0,4,5,1,0.64,0x,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
52,Mohamed Salah,EGY,FW,2,4,9,11,7,2,1,0.95,1.05x,15,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
52,Cyle Larin,CAN,FW,0,4,9,22,9,0,3,1.27,1.58x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
52,Granit Xhaka,SUI,MF,0,2,9,11,1,8,0,1.16,0.86x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
62,Fabian Ruiz,ESP,MF,0,2,8,13,4,4,1,1.33,0.75x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
62,Scott Mctominay,SCO,MF,0,3,8,0,8,0,3,0.65,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
62,Alexander Isak,SWE,FW,3,6,8,13,5,3,1,0.68,1.48x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
62,Mousa Altamari,JOR,FW,1,3,8,13,4,4,0,1.13,0.89x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
62,Felix Nmecha,GER,MF,1,3,8,13,3,5,0,0.49,2.04x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
62,Bruno Guimaraes,BRA,MF,4,2,8,0,5,3,1,1.02,0x,8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
62,John Yeboah,ECU,FW,0,3,8,0,4,4,0,0.72,0x,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
62,Julio Enciso,PAR,FW,2,1,8,13,6,2,1,0.74,1.36x,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
62,Gonzalo Plata,ECU,FW,0,5,8,13,4,4,1,1.16,0.86x,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
62,Malik Tillman,USA,MF,1,4,8,25,5,3,0,0.73,2.75x,10,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
62,Mostafa Zico,EGY,MF,1,3,8,25,7,1,2,1.1,1.82x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
62,Pape Gueye,SEN,MF,1,3,8,25,1,7,0,0.37,5.4x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
62,Amad Diallo,CIV,FW,0,4,8,25,6,2,0,1.44,1.39x,4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
62,Thapelo Maseko,RSA,FW,0,1,8,13,4,4,0,0.47,2.13x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
62,Tani Oluwaseyi,CAN,FW,0,4,8,0,8,0,2,0.99,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
62,Trezeguet,EGY,FW,1,3,8,13,6,2,3,0.71,1.4x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
78,Neil El Aynaoui,MAR,MF,0,2,7,0,5,2,4,0.6,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
78,Nicolas Jackson,SEN,FW,1,3,7,0,6,1,2,0.56,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
78,Elliot Anderson,ENG,MF,1,1,7,0,3,4,2,0.38,0x,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
78,Nico Oreilly,ENG,DF,0,1,7,0,6,1,5,0.88,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
78,Dodi Lukebakio,BEL,FW,0,1,7,0,5,2,1,0.41,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
78,Yasin Ayari,SWE,MF,0,3,7,29,1,6,0,0.44,4.59x,9,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
78,Rodri,ESP,MF,0,0,7,0,2,5,1,0.27,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
78,Pedro Porro,ESP,DF,0,3,7,29,4,3,1,1.1,1.82x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
78,Michal Sadilek,CZE,MF,0,3,7,14,5,2,1,0.7,1.42x,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
78,Fabian Rieder,SUI,MF,0,2,7,0,4,3,0,1.09,0x,8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
78,Elijah Just,NZL,MF,0,5,7,43,5,2,0,0.86,3.48x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
78,Son Heungmin,KOR,FW,0,1,7,0,4,3,0,0.81,0x,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
78,Nico Gonzalez,ARG,MF,1,1,7,0,7,0,4,0.48,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Jaminton Campaz,COL,FW,0,3,6,17,3,3,1,0.64,1.56x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,James Rodriguez,COL,MF,0,3,6,0,2,4,0,0.24,0x,11,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Kevin Rodriguez,ECU,FW,1,1,6,0,6,0,2,0.68,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Diego Gomez,PAR,MF,0,0,6,0,2,4,0,0.25,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Davinson Sanchez,COL,DF,0,2,6,0,5,1,4,0.54,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Federico Vinas,URU,FW,0,3,6,0,6,0,5,0.39,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Brian Gutierrez,MEX,MF,0,0,6,0,3,3,0,0.35,0x,3,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Ismael Diaz,PAN,MF,0,2,6,0,4,2,2,0.39,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Merih Demiral,TUR,DF,0,2,6,0,3,3,2,0.24,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Ruben Vargas,SUI,FW,1,4,6,33,4,2,0,1.31,1.53x,11,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Nestory Irankunda,AUS,FW,0,3,6,17,4,2,1,0.81,1.23x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Johan Manzambi,SUI,MF,2,3,6,50,4,2,0,0.63,4.73x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Brahim Diaz,MAR,FW,4,1,6,0,4,2,0,0.31,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Sadio Mane,SEN,FW,1,3,6,0,4,2,0,0.58,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Antoine Semenyo,GHA,MF,0,0,6,0,3,3,1,0.26,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Bilal El Khannouss,MAR,MF,0,4,6,0,2,4,1,0.28,0x,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Jean Ricner Bellegarde,HAI,MF,0,0,6,0,1,5,1,0.29,0x,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Nicolas Pepe,CIV,FW,1,3,6,33,5,1,0,1.42,1.41x,6,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Soufiane Rahimi,MAR,FW,1,4,6,33,5,1,2,1.59,1.26x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Tajon Buchanan,CAN,FW,0,3,6,0,3,3,0,0.68,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Noni Madueke,ENG,FW,0,1,6,0,4,2,0,0.61,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Charles De Ketelaere,BEL,FW,1,5,6,50,6,0,3,1.51,1.98x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Anthony Gordon,ENG,FW,3,4,6,17,6,0,2,0.7,1.43x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Leroy Sane,GER,MF,0,2,6,17,5,1,0,1.57,0.64x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Antonio Nusa,NOR,FW,0,2,6,17,4,2,0,0.37,2.7x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Joao Felix,POR,FW,0,1,6,0,4,2,1,0.62,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Romelu Lukaku,BEL,FW,1,3,6,50,6,0,2,0.77,3.91x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Jamal Musiala,GER,MF,0,1,6,17,4,2,0,0.34,2.92x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Manu Kone,FRA,MF,0,2,6,0,1,5,0,0.19,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Deniz Undav,GER,FW,2,4,6,50,5,1,0,1.43,2.1x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Declan Rice,ENG,MF,2,3,6,17,3,3,1,0.31,3.23x,30,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Saeid Ezatolahi,IRN,MF,0,2,6,0,2,4,2,0.49,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Riyad Mahrez,ALG,FW,1,3,6,33,4,2,0,1.49,1.34x,5,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Brian Cipenga,COD,FW,0,1,6,17,2,4,0,0.23,4.32x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Ali Alhamadi,IRQ,FW,0,0,6,0,4,2,2,0.95,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Ali Olwan,JOR,FW,0,3,6,17,4,2,1,0.25,3.93x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Ryan Mendes,CPV,FW,1,0,6,0,3,3,0,0.07,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Leandro Bacuna,CUW,MF,0,1,6,0,3,3,2,0.33,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Juninho Bacuna,CUW,MF,0,1,5,0,2,3,1,0.33,0x,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Livano Comenencia,CUW,MF,0,2,5,20,2,3,0,0.31,3.25x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Aubrey Modiba,RSA,DF,0,1,5,0,1,4,0,0.12,0x,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Idrissa Gana Gueye,SEN,MF,0,1,5,0,0,5,0,0.12,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Promise David,CAN,FW,1,3,5,20,3,2,1,0.75,1.34x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Kevin Pina,CPV,MF,0,1,5,20,0,5,0,0.09,11.33x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Azzedine Ounahi,MAR,MF,0,3,5,40,1,4,0,0.33,6.13x,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Alistair Johnston,CAN,DF,0,2,5,0,4,1,2,0.18,0x,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Derek Cornelius,CAN,DF,0,1,5,0,5,0,4,0.74,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Wilson Isidor,HAI,FW,0,2,5,20,2,3,1,0.15,6.67x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Seko Fofana,CIV,MF,0,1,5,0,0,5,0,0.4,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Thiago Almada,ARG,FW,0,2,5,0,2,3,0,0.25,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Ricardo Pepi,USA,FW,0,0,5,0,5,0,2,0.38,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Richard Rios,COL,MF,0,1,5,0,2,3,1,0.37,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Rayan,BRA,FW,1,2,5,0,3,2,1,0.76,0x,1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Jefferson Lerma,COL,MF,0,1,5,0,2,3,0,0.24,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Weston Mckennie,USA,MF,0,1,5,0,4,1,2,0.6,0x,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Roberto Alvarado,MEX,FW,3,0,5,0,2,3,0,0.28,0x,14,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
129,Gilberto Mora,MEX,MF,0,0,5,0,3,2,0,0.13,0x,2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
